,age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
0,39,5,13,4,0,1,4,1,2174,0,40,38,0
1,50,4,13,2,3,0,4,1,0,0,13,38,0
2,38,2,9,0,5,1,4,1,0,0,40,38,0
3,53,2,7,2,5,0,2,1,0,0,40,38,0
4,28,2,13,2,9,5,2,0,0,0,40,4,0
5,37,2,14,2,3,5,4,0,0,0,40,38,0
6,49,2,5,3,7,1,2,0,0,0,16,22,0
7,52,4,9,2,3,0,4,1,0,0,45,38,1
8,31,2,14,4,9,1,4,0,14084,0,50,38,1
9,42,2,13,2,3,0,4,1,5178,0,40,38,1
10,37,2,10,2,3,0,2,1,0,0,80,38,1
11,30,5,13,2,9,0,1,1,0,0,40,18,1
12,23,2,13,4,0,3,4,0,0,0,30,38,0
13,32,2,12,4,11,1,2,1,0,0,50,38,0
14,34,2,4,2,13,0,0,1,0,0,45,25,0
15,25,4,9,4,4,3,4,1,0,0,35,38,0
16,32,2,9,4,6,4,4,1,0,0,40,38,0
17,38,2,7,2,11,0,4,1,0,0,50,38,0
18,43,4,14,0,3,4,4,0,0,0,45,38,1
19,40,2,16,2,9,0,4,1,0,0,60,38,1
20,54,2,9,5,7,4,2,0,0,0,20,38,0
21,35,0,5,2,4,0,2,1,0,0,40,38,0
22,43,2,7,2,13,0,4,1,0,2042,40,38,0
23,59,2,9,0,12,4,4,0,0,0,40,38,0
24,56,1,13,2,12,0,4,1,0,0,40,38,1
25,19,2,9,4,2,3,4,1,0,0,40,38,0
26,39,2,9,0,3,1,4,1,0,0,80,38,0
27,49,2,9,2,2,0,4,1,0,0,40,38,0
28,23,1,12,4,10,1,4,1,0,0,52,38,0
29,20,2,10,4,11,3,2,1,0,0,44,38,0
30,45,2,13,0,3,3,4,1,0,1408,40,38,0
31,30,0,10,2,0,3,4,1,0,0,40,38,0
32,22,5,10,2,7,0,2,1,0,0,15,38,0
33,48,2,7,4,6,4,4,1,0,0,40,32,0
34,21,2,10,4,6,3,4,1,0,0,40,38,0
35,19,2,9,1,0,5,4,0,0,0,25,38,0
36,48,4,12,2,9,0,4,1,0,0,40,38,0
37,31,2,5,2,6,0,4,1,0,0,43,38,0
38,53,4,13,2,9,0,4,1,0,0,40,38,0
39,24,2,13,2,12,0,4,1,0,0,50,38,0
40,49,2,9,5,0,4,4,0,0,0,40,38,0
41,25,2,9,4,5,1,4,1,0,0,35,38,0
42,57,0,13,2,9,0,2,1,0,0,40,38,1
43,53,2,9,2,6,0,4,1,0,0,38,38,0
44,44,2,14,0,3,4,4,0,0,0,40,38,0
45,41,5,11,2,2,0,4,1,0,0,40,38,0
46,29,2,11,4,9,1,4,1,0,0,43,38,0
47,25,2,10,2,3,5,3,0,0,0,40,38,0
48,47,2,15,2,9,5,4,0,0,1902,60,15,1
49,50,0,13,0,3,1,4,1,0,0,55,38,1
50,47,3,9,0,3,1,4,1,0,0,60,38,0
51,43,2,10,2,12,0,4,1,0,0,40,38,1
52,46,2,3,2,6,0,4,1,0,0,40,25,0
53,35,2,11,2,7,0,4,1,0,0,40,32,0
54,41,2,9,2,0,0,4,1,0,0,48,38,0
55,30,2,9,2,6,0,4,1,5013,0,40,38,0
56,30,2,13,2,11,0,4,1,2407,0,40,38,0
57,48,2,9,2,13,0,4,1,0,0,40,38,0
58,42,2,16,2,9,0,4,1,0,0,45,38,1
59,29,2,10,0,12,1,4,1,0,0,58,38,0
60,36,2,9,2,2,0,4,1,0,0,40,38,0
61,28,2,10,0,0,1,4,0,0,0,40,38,0
62,53,2,9,2,0,5,4,0,0,0,40,38,1
63,49,3,10,2,3,0,4,1,0,0,50,38,1
64,19,2,10,4,9,3,4,1,0,0,32,38,0
65,31,2,13,5,11,3,2,0,0,0,40,38,0
66,29,4,13,2,11,0,4,1,0,0,70,38,1
67,23,2,10,4,6,1,4,1,0,0,40,38,0
68,79,2,10,2,9,2,4,1,0,0,20,38,0
69,27,2,9,4,7,3,4,1,0,0,40,25,0
70,40,2,12,2,0,0,4,1,0,0,40,38,0
71,18,2,7,4,7,3,4,0,0,0,22,38,0
72,31,1,4,2,4,0,4,1,0,0,40,38,0
73,18,2,9,4,11,1,4,1,0,0,30,38,0
74,52,2,13,2,7,0,4,1,0,0,40,4,0
75,46,2,9,2,7,5,4,0,0,0,40,38,0
76,59,2,9,2,11,0,4,1,0,0,48,38,0
77,44,2,9,0,2,1,4,0,14344,0,40,38,1
78,53,2,9,0,11,3,4,0,0,0,35,38,0
79,49,1,9,2,10,0,4,1,0,0,40,38,1
80,33,2,14,2,9,0,4,1,0,0,50,38,0
81,30,2,5,4,11,1,4,1,0,0,40,38,0
82,43,0,16,4,9,1,4,0,0,0,50,38,1
83,57,2,11,2,9,0,4,1,0,0,40,38,0
84,37,2,10,0,2,4,4,0,0,0,40,38,0
85,28,2,10,0,6,4,2,0,0,0,25,38,0
86,34,1,13,2,10,0,4,1,0,0,40,38,1
87,29,1,10,4,5,1,4,1,0,0,50,38,0
88,48,4,16,2,9,0,4,1,0,1902,60,38,1
89,37,2,10,2,11,0,4,1,0,0,48,38,1
90,48,2,12,0,3,4,4,0,0,0,40,8,0
91,32,0,9,4,7,3,2,1,0,0,40,38,0
92,76,2,14,2,3,0,4,1,0,0,40,38,1
93,44,2,13,2,3,0,4,1,15024,0,60,38,1
94,47,4,14,4,9,1,4,0,0,0,50,38,0
95,20,2,10,4,12,3,4,0,0,0,40,38,0
96,29,2,9,4,2,1,4,1,0,0,40,38,0
97,32,3,9,2,2,0,4,1,7688,0,40,38,1
98,30,2,7,4,5,3,4,1,0,0,40,38,0
99,31,1,9,4,0,1,4,0,0,0,40,38,0
100,42,2,9,2,5,0,4,1,0,0,40,38,0
101,24,2,13,4,11,2,4,1,0,0,40,38,0
102,38,2,15,2,9,0,4,1,0,0,40,38,1
103,56,4,9,2,7,0,4,1,0,1887,50,1,1
104,28,2,10,2,11,5,4,0,4064,0,25,38,0
105,36,2,9,4,6,3,4,0,0,0,40,38,0
106,53,2,5,2,5,0,4,1,0,0,50,38,0
107,56,3,10,2,11,0,4,1,0,0,50,38,0
108,49,1,11,2,2,0,2,1,0,0,40,38,1
109,55,2,10,2,11,0,4,1,0,0,56,38,0
110,22,2,9,4,2,1,4,1,0,0,41,38,0
111,21,2,10,4,7,3,4,0,0,0,40,38,0
112,40,2,13,2,3,0,4,1,0,0,60,38,0
113,30,2,13,4,3,3,2,1,0,0,40,10,0
114,29,5,13,2,9,0,4,1,0,0,50,38,1
115,19,2,10,4,7,3,2,1,0,0,35,38,0
116,47,2,13,2,3,5,4,0,0,0,40,38,1
117,20,2,10,4,0,3,4,0,0,1719,28,38,0
118,31,2,12,2,0,0,4,1,0,0,40,38,1
119,39,2,10,0,2,1,4,1,0,0,40,38,0
120,28,2,12,4,11,1,4,0,0,0,60,38,0
121,24,2,9,4,7,1,4,0,0,1762,40,38,0
122,38,4,9,2,2,0,4,1,4386,0,35,38,0
123,37,2,13,2,11,0,4,1,0,0,50,38,0
124,46,2,12,0,12,1,2,0,0,0,36,38,0
125,38,0,14,2,9,0,4,1,0,0,40,19,1
126,43,4,9,2,2,0,4,1,0,0,60,38,0
127,27,2,11,2,0,5,4,0,0,0,35,38,0
128,20,2,10,4,11,3,4,1,0,0,20,38,0
129,49,2,10,2,2,0,1,1,0,0,40,38,1
130,61,3,9,2,2,0,4,1,0,0,40,38,0
131,27,2,10,4,11,3,4,0,0,0,40,38,0
132,19,2,10,4,7,3,4,1,0,0,30,25,0
133,45,2,11,4,9,1,4,0,0,1564,40,38,1
134,70,2,10,4,12,2,4,1,0,0,40,38,0
135,31,2,9,4,13,4,2,0,0,0,30,38,0
136,22,2,10,2,7,0,4,1,0,0,24,38,0
137,36,2,9,6,7,4,4,0,0,0,24,38,0
138,64,2,7,2,2,0,4,1,0,2179,40,38,0
139,47,1,10,0,0,4,4,0,0,0,38,25,0
140,34,2,9,4,0,1,4,0,0,0,40,38,0
141,33,2,13,4,3,2,1,0,0,0,40,29,0
142,21,2,9,4,2,3,4,1,0,0,35,38,0
143,48,2,9,2,2,0,4,1,0,0,46,38,0
144,23,2,13,4,5,1,4,1,0,0,40,38,0
145,71,4,10,5,11,4,2,1,0,1816,2,38,0
146,29,2,9,0,2,1,4,1,0,0,60,38,0
147,42,2,13,5,7,2,2,1,0,0,50,38,0
