x,y,class
-0.564488168,0.154728413,0
0.394180732,0.165267565,0
-0.647047383,-0.311047005,0
-0.348048327,-0.004683928,1
0.250432382,0.183623071,0
-1.191238736,0.458397036,0
0.248161661,0.350924546,0
0.819298719,-0.463304643,0
-0.479172153,-0.574900334,0
1.179035272,-1.062099918,0
-0.476476555,0.357680424,0
-1.269901366,0.107921319,0
0.287575348,0.317230554,0
-0.80293596,-1.209208866,0
1.04825489,0.270777418,0
0.265953874,-0.833804271,0
-0.279729972,0.007751521,1
-0.323515944,-0.013204173,1
-0.272131241,-0.0100243,1
-0.30269566,1.203684526,0
-0.428059508,1.131586772,0
-0.339296501,-0.033927227,1
-1.204984599,0.401701696,0
-0.391867814,-0.051743809,1
0.348588125,0.004855751,0
0.059851351,1.241340169,0
1.173264105,-1.069448626,0
-0.646628405,-0.421129299,0
-0.347944571,-0.052852481,1
-1.102245696,-0.901233687,0
-1.121723069,-0.80956964,0
-0.299353381,-0.056066534,1
0.906738906,-0.313326089,0
-0.419780953,-0.077324244,1
-0.40345168,-0.083592113,1
-0.328878257,-0.088828939,1
0.579912968,-0.710916053,0
-0.2912457,-0.098520082,1
-0.422874662,-0.107116876,1
-0.260580862,-0.122157163,1
-0.316744209,-0.130032255,1
-0.274197818,-0.144755863,1
-0.322785332,-0.150123658,1
0.859612061,-1.316335228,0
0.131922457,-1.541413182,0
0.885770617,0.563359317,0
-0.67757769,-0.315773404,0
-0.121434036,0.581507227,0
-0.437344991,-0.142511938,1
-0.377297755,-0.160404941,1
-0.347892451,-0.175033813,1
-0.374819377,-0.177669451,1
-0.36743753,0.464020187,0
0.334929247,-1.404551389,0
0.342148823,0.098935509,0
-0.226943151,-0.225384969,1
0.003624562,0.510319084,0
-1.296633166,-0.170637385,0
-0.740731207,0.985608459,0
-0.346013049,-0.202180379,1
0.285606272,-1.486486183,0
-0.166165575,-1.48796116,0
1.029450608,-1.148492549,0
-0.300894651,-0.22531877,1
-0.370599882,-0.209939477,1
-0.414995019,-0.199769761,1
-0.335409655,-0.238234482,1
-0.403510929,-0.660074907,0
-0.33359989,-0.246302175,1
-0.61861499,-0.36624712,0
0.043284296,0.48819395,0
-0.318694301,-0.260325656,1
-0.059912403,-1.462551201,0
-1.334450462,0.065661906,0
-0.426750413,0.402830186,0
-0.200436525,0.454052103,0
-0.263052695,0.476608992,0
-0.335479928,-0.25848225,1
-0.999004307,0.772600125,0
-0.27574407,-0.297001207,1
-0.28685231,-0.297653923,1
-0.34058099,-0.270390341,1
-0.30651313,-0.29625851,1
-1.309718637,-0.495407722,0
-0.32120193,-0.289926418,1
-0.970832804,0.802300222,0
-0.296850692,-0.310383435,1
0.216778089,0.362802277,0
-0.183073812,-0.401700607,1
0.20948979,-1.48876527,0
-0.251187251,-0.352132067,1
-0.237981426,-0.366198077,1
0.602051827,-1.375640908,0
-0.261337062,-0.346926528,1
-0.227875338,-0.379133343,1
-0.201927755,-0.405906137,1
-1.29318964,-0.308824031,0
-0.277691665,-0.324869088,1
0.728720452,0.810716096,0
-0.216594767,-0.388780057,1
0.472781121,-0.795402647,0
-0.199671697,-0.405695709,1
-0.185098794,-0.420191939,1
-1.133354348,0.57527395,0
-0.577385679,-0.122123621,0
-0.130757598,-0.488002484,1
-0.150148448,-0.458203394,1
-0.16213842,-0.43444809,1
-0.150265488,-0.444127285,1
0.508434377,-0.692221151,0
0.214216062,1.128602527,0
-0.163590523,-0.411323704,1
-0.139600145,-0.439474831,1
-0.132148147,-0.438523579,1
-0.420497649,-0.648521796,0
-0.120633811,-0.444239746,1
-0.087387605,-0.49640941,1
-0.090314776,-0.470633233,1
0.373247621,0.019214906,0
-0.108372198,-0.401394285,1
-0.084182098,-0.433793803,1
-0.060138155,-0.469960647,1
-0.035352077,-0.513752563,1
-0.151902255,0.501563863,0
-0.327031376,0.510753908,0
-0.027674429,-0.504078105,1
-0.056905872,-0.345019682,1
-9.66E-06,-0.526318088,1
0.577789634,0.941654575,0
-0.542469944,1.148260994,0
-0.00837582,-0.427378821,1
0.018414651,-0.500251861,1
0.039281716,-0.557313684,1
0.051696077,-0.566287526,1
-0.199873196,-0.762391339,0
-0.158282432,0.644253443,0
0.060771034,-0.541391862,1
-0.614760632,-0.382003742,0
-1.338780402,0.128584042,0
-0.790547415,-1.206446155,0
-0.034609241,0.524999385,0
0.067010572,-0.449832211,1
-0.577598941,-1.30194848,0
0.08256562,-0.470083978,1
-0.44992887,-1.402984779,0
0.097256048,-0.496537587,1
0.109883029,-0.580165979,1
0.124408708,-0.506178708,1
0.134715308,-0.555537416,1
